id,company_id,department_id,employee_number,first_name,last_name,email,phone,date_of_birth,gender,tax_file_number,start_date,termination_date,termination_reason,status,employment_type,role,annual_salary,hourly_rate,super_fund,super_member_number,street,city,state,postcode,bank_bsb,bank_account_number,bank_account_name
9b2d8a13-52d0-46ef-af6d-640ac2453d12,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,b4fd80b3-d2f0-4cef-ba97-d5a93a6ec5b5,EMP-0002,Cheyenne,Henderson,cheyenne.henderson@company.com.au,+61.8.7726.1801,2003-02-28,female,910389412,2021-06-18,2023-09-07,resignation,terminated,full_time,Assistant Manager,100000.00,,Australian Retirement Trust,3490668,Flat 88 5 Robert Tollway,Allisontown,VIC,0257,581-536,37709500,Cheyenne Henderson
5197f5d3-738d-4e77-8916-31de3d47080a,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,9f7a921e-dc39-4c56-bcf0-d96d44d8e310,EMP-0008,Suzanne,Berry,suzanne.berry@company.com.au,5711-3162,1963-03-15,female,115947603,2019-09-23,,,active,part_time,Warehouse Associate,54356.25,,Australian Retirement Trust,3227267,96/2 Melissa Cutting,Howeton,NSW,2220,738-570,18317120,Suzanne Berry
9862a9eb-96ca-46f8-a3b9-a6d06d65e53d,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,b4fd80b3-d2f0-4cef-ba97-d5a93a6ec5b5,EMP-0013,Devin,Olsen,devin.olsen@company.com.au,0444 111 810,1997-11-14,male,214983569,2023-10-09,2025-01-17,resignation,terminated,part_time,Assistant Manager,86435.87,,Hostplus,7879774,Level 9 1 Amy Glen,Wongstad,VIC,2677,986-721,88739990,Devin Olsen
016df4b3-8506-46fc-ad24-b734ce32aaaa,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,b4fd80b3-d2f0-4cef-ba97-d5a93a6ec5b5,EMP-0001,Julie,Allen,julie.allen@company.com.au,0420.747.344,1971-10-29,female,905531333,2018-08-12,,,active,full_time,Store Manager,95952.29,,AustralianSuper,2088246,Suite 561 5 James Fire Track,Banksville,VIC,2987,899-880,36625445,Julie Allen
438b2ff9-dc5e-4891-b962-59ee8d479711,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,1090847c-48f2-4359-88b9-c62a9824b956,EMP-0012,Erika,Reed,erika.reed@company.com.au,0476 386 665,1992-05-07,female,479760997,2020-03-25,,,active,full_time,Accounts Officer,65649.66,,HESTA,5534223,35 Cook Green,Suttonstad,QLD,2628,171-658,84640564,Erika Reed
4d6d5ebe-289a-4427-a5ff-5459119db731,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,3e91f6ea-b92c-48f3-bb0e-8495d2771594,EMP-0004,Tracy,Carr,tracy.carr@company.com.au,03 0765 7561,1971-11-20,female,569468343,2020-02-10,,,active,part_time,Senior Sales Associate,77758.76,,AustralianSuper,9801729,8 Rodriguez Loop,Cohenview,VIC,7436,525-981,53272127,Tracy Carr
535b7ada-2cad-4e53-af4b-db5f0b16b9f0,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,1090847c-48f2-4359-88b9-c62a9824b956,EMP-0011,Ronald,Estrada,ronald.estrada@company.com.au,6476.9009,1995-03-28,male,033152499,2021-06-04,,,active,full_time,Office Administrator,74256.86,,Sunsuper,2101000,Suite 257 70 Harris Top,Bergview,NSW,2182,955-258,76648081,Ronald Estrada
6b6c707b-27e7-43d8-b3eb-26835cfb0db8,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,9f7a921e-dc39-4c56-bcf0-d96d44d8e310,EMP-0010,Robert,Gray,robert.gray@company.com.au,0496.813.968,1967-11-07,male,101630181,2022-11-03,,,active,full_time,Dispatch Officer,80615.06,,REST Super,4637172,Apt. 027 58 Snow Common,Rebeccaborough,VIC,0802,379-737,94711633,Robert Gray
8a516221-ef00-4243-8dd6-677c32639655,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,b4fd80b3-d2f0-4cef-ba97-d5a93a6ec5b5,EMP-0014,April,Reynolds,april.reynolds@company.com.au,+61.7.9401.0411,2004-04-21,female,904142040,2025-01-31,,,active,full_time,Assistant Manager,90174.76,,Cbus,6716652,8/47 Parker Square,Erikmouth,VIC,2613,636-976,42328139,April Reynolds
a6e50796-237c-4eb9-83e7-43b0fbcf9d2b,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,3e91f6ea-b92c-48f3-bb0e-8495d2771594,EMP-0005,Anthony,Brown,anthony.brown@company.com.au,+61849532610,1961-01-08,male,293585502,2020-05-02,,,active,full_time,Sales Lead,71757.77,,Sunsuper,7856574,Level 9 186 Webb Spur,New Brian,NSW,2890,491-318,41953135,Anthony Brown
bb97fea4-a9d4-441b-a30f-fcd6977019e9,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,3e91f6ea-b92c-48f3-bb0e-8495d2771594,EMP-0007,Jamie,Chang,jamie.chang@company.com.au,+61 408 710 012,1999-08-06,female,610597479,2019-02-03,,,active,full_time,Sales Associate,73990.90,,Hostplus,6226204,59/98 Franco Rue,Markberg,QLD,2798,164-960,36373431,Jamie Chang
c06dbd8c-46d0-4a05-a123-c65c960a53e8,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,9f7a921e-dc39-4c56-bcf0-d96d44d8e310,EMP-0009,Phillip,Smith,phillip.smith@company.com.au,03 8091 4494,2004-01-16,male,980148500,2019-11-25,,,active,full_time,Warehouse Lead,108355.64,,UniSuper,2392446,7 Ortiz Landing,Salinasborough,NSW,2979,990-585,58117349,Phillip Smith
d6c24227-7c06-4363-8496-04f9649e3bcd,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,3e91f6ea-b92c-48f3-bb0e-8495d2771594,EMP-0003,Matthew,Adkins,matthew.adkins@company.com.au,+61 2 5627 9844,1986-06-17,male,631722443,2022-05-11,,,active,full_time,Sales Associate,64433.91,,REST Super,6617235,Unit 00 2 Robert Corso,Nicoleshire,QLD,0850,759-964,23528908,Matthew Adkins
ff69c79d-8fbd-4afc-aa2c-e2b0f15af1f7,c3e61d8e-e415-4326-931a-cffe4ec7ba0f,3e91f6ea-b92c-48f3-bb0e-8495d2771594,EMP-0006,Douglas,Vargas,douglas.vargas@company.com.au,+61.2.4124.3145,1972-03-17,male,970606935,2022-05-10,,,active,full_time,Customer Service Rep,66514.92,,REST Super,5316363,0/691 Wendy Parkway,Nelsontown,NSW,2904,910-405,27746981,Douglas Vargas
